"Week","SKU.A.2","SKU.B.2","SKU.C.1","SKU.C.2","SKU.F.1","SKU.F.2","SKU.H.2","SKU.I.2","SKU.J.2","SKU.K.2","SKU.L.1","SKU.L.2","SKU.M.2","SKU.O.1","SKU.O.2","SKU.Q.2","SKU.S.2","SKU.B.1","SKU.E.2","SKU.G.2","SKU.H.1","SKU.K.1","SKU.N.2","SKU.Q.1","SKU.M.1","SKU.Q.3","SKU.C.3","SKU.F.3","SKU.H.3","SKU.K.3","SKU.O.3","SKU.B.3","SKU.G.3","SKU.L.3","SKU.N.3","SKU.A.3","SKU.E.3","SKU.I.3","SKU.S.3","SKU.U.3","SKU.T.3","SKU.J.3","SKU.B.4","SKU.O.4","SKU.Q.4","SKU.U.4","SKU.W.4","SKU.C.4","SKU.K.4","SKU.L.4","SKU.A.4","SKU.T.4","SKU.D.4","SKU.F.4","SKU.G.4","SKU.H.4","SKU.V.4","SKU.I.4","SKU.N.4","SKU.R.4","SKU.S.4","SKU.J.4","SKU.E.4","SKU.P.4","SKU.A.5","SKU.D.5","SKU.K.5","SKU.C.5","SKU.B.5","SKU.R.5","SKU.T.5","SKU.U.5","SKU.V.5","SKU.Y.5","SKU.X.5","SKU.L.5","SKU.Q.5","SKU.S.5","SKU.W.5","SKU.J.5","SKU.E.5","SKU.F.5","SKU.H.5","SKU.N.5","SKU.I.5","SKU.G.5"
21,25032,140765,17516,114443,5032,97453,77674,27579,3392,77707,0,42993,24204,3343,90097,44650,72404,16,4936,1751,159,3503,6719,0,2866,478,0,16,159,159,796,318,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,20700,131528,23885,174043,15207,67515,93297,25716,1433,78821,0,52229,22038,4936,66099,53822,66879,318,14012,1114,159,11003,13773,0,3981,318,796,318,955,636,796,796,318,637,318,318,159,159,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,17356,82644,28503,91241,9650,26624,56052,19586,477,71465,0,22834,16879,1115,89649,34076,58582,0,14808,3041,159,2867,10621,1592,318,1751,6974,2245,956,3980,4299,3773,0,796,0,1083,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,19268,56210,18153,140127,9506,30222,117563,23807,3184,78183,1417,24888,21178,637,87261,46019,55415,0,10478,1592,0,4299,9936,0,3184,1910,3981,10048,10765,6687,1274,1911,478,860,2309,2548,477,159,7149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,77070,165780,42834,163534,7691,66879,99841,28981,3821,106020,NA,37898,32007,6688,165764,39968,62580,159,7531,2309,0,4395,13009,0,1592,11942,5732,12897,4140,11306,223,3503,0,636,0,477,0,318,10541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,70700,134554,28662,272771,17946,94586,120860,44108,5000,110669,NA,64013,43152,3980,147612,102069,100796,159,28232,2818,159,1910,25637,0,525,7484,28503,18154,13137,11385,10669,20621,477,11943,6131,6847,1751,1114,14172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,10828,102228,14331,153025,8917,39012,147452,28185,3184,86783,NA,51752,34714,1751,96656,105732,68010,NA,4139,1274,3185,2866,6370,318,3822,21035,12738,7325,2229,10509,21497,4140,159,26274,2070,1910,637,1911,4937,47611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,27788,165127,13535,208758,14617,80095,114013,40288,6688,117357,NA,69586,41402,4458,119904,92118,98726,NA,7324,1464,NA,1115,13694,860,318,23089,39332,19666,5986,37261,32005,6210,1115,1911,3343,5541,955,3869,29012,30732,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,37579,116401,25637,200796,5048,69427,158599,36784,14012,104141,NA,57962,37101,796,168471,63694,111147,NA,8439,1910,NA,1593,20796,0,0,31608,83758,31528,13057,19905,35031,37022,4300,14172,4299,14809,955,2786,21814,27437,955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,67994,132006,12419,251911,4013,161465,110271,50955,2564,96496,NA,29300,44268,159,148885,71337,97452,NA,7005,1274,NA,605,28981,0,1560,29300,57166,15128,10668,21814,42516,32803,4617,15445,8917,21974,3662,5414,29300,54188,3582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,48726,219506,9714,313854,3025,135192,158757,72133,2866,130494,NA,50796,42197,0,197452,124124,127548,NA,32962,4314,NA,2468,33805,0,0,33678,111943,66002,41402,74522,71975,66800,10732,32325,17356,33758,4188,26592,57167,34633,8678,1433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,55892,194856,46975,297628,10844,125956,155095,47931,5604,159236,NA,116195,43790,0,127389,138534,81050,NA,62373,3981,NA,542,40922,0,3265,68152,86465,46974,21020,72930,27549,44188,13503,25080,9714,9554,9235,6290,36146,54044,20222,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,127708,110668,29140,201911,9061,88216,88868,42197,6528,54937,NA,42468,27867,0,81050,101752,73407,NA,20223,5971,NA,7421,13376,0,318,64968,60509,69108,30732,42834,23885,40239,14968,30732,15286,20860,9873,4394,32962,41800,9920,2755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
